Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
1900200.00 127409.469 4213.66162 17082.0312 4149.28027 29060.8691 3048.58838 1283.94434 -17.5681572 52.1207314 -235.372787
1900400.00 127409.469 4875.85693 17126.8965 3826.31274 30013.2168 2759.98071 1253.42236 -17.5681572 50.3109093 -237.401398
1900600.00 127409.469 5182.11328 16912.8242 4068.35547 30610.2539 2864.55322 1395.49573 -17.5681572 49.7885399 -241.482224
1900800.00 127409.469 5424.24561 17134.9785 3979.54907 31193.5156 2865.78247 1305.00659 -17.5681572 52.6507263 -243.890823
1901000.00 127409.469 5200.73730 16697.3730 3973.21802 30334.2715 2912.94849 1253.87915 -17.5681572 49.3116035 -242.921356
1901200.00 127409.469 5194.65430 16999.8145 3915.39771 30567.5898 2873.00537 1229.17419 -17.5681572 53.4948502 -240.276886
1901400.00 127409.469 5198.09326 16941.6016 4184.29932 30784.6660 3094.45923 1274.94324 -17.5681572 53.9180641 -239.021423
1901600.00 127409.469 5194.82812 16891.5527 3788.73657 30332.9883 2789.72461 1179.47156 -17.5681572 57.4042664 -237.863617
1901800.00 127409.469 6136.03418 16975.0938 3950.96997 32327.6523 2852.05249 1280.64209 -17.5681572 56.6683044 -238.393097
1902000.00 127409.469 5723.56641 16954.1836 4165.64307 31754.9941 3104.54102 1247.41858 -17.5681572 52.2630920 -238.579575
1902200.00 127409.469 5918.57910 17057.2910 3778.37134 31833.1895 2766.09570 1196.22632 -17.5681572 52.0867348 -236.037506
1902400.00 127409.469 5478.56299 16928.8359 3777.52979 30886.2832 2826.13623 1139.90234 -17.5681572 50.1841965 -238.692932
1902600.00 127409.469 5345.97217 17106.0918 4023.54102 31063.1797 3011.51636 1204.68005 -17.5681572 49.2686539 -241.924011
1902800.00 127409.469 4987.25830 16970.3184 3886.80078 30124.1250 2843.28662 1242.38831 -17.5681572 46.3233643 -245.197525
1903000.00 127409.469 6032.37402 17038.0527 4013.88770 32260.9141 3034.26562 1178.44385 -17.5681572 46.5838280 -245.405487
1903200.00 127409.469 6000.23486 17060.8691 4097.90527 32308.0293 3036.59741 1261.91357 -17.5681572 43.4016685 -244.007553
1903400.00 127409.469 5084.96387 16961.4961 3894.56396 30304.6172 2868.01611 1228.43445 -17.5681572 44.3963661 -246.282913
1903600.00 127409.469 5718.48486 17090.0547 3894.14111 31609.9219 2900.04858 1202.87378 -17.5681572 41.1297798 -249.911133
1903800.00 127409.469 6490.19531 16998.4336 4131.57422 33189.6758 3000.03931 1336.71350 -17.5681572 42.9161186 -248.094803
1904000.00 127409.469 4590.33545 17231.4141 3983.77417 29744.6582 2977.00830 1205.03210 -17.5681572 47.6751442 -245.941544
1904200.00 127409.469 5149.37354 16892.4766 3864.96338 30325.6797 2887.93164 1170.80530 -17.5681572 49.3345642 -243.108047
1904400.00 127409.469 4360.81787 17014.3301 4174.85547 29292.1816 3132.46143 1241.78821 -17.5681572 45.4575195 -244.851532
1904600.00 127409.469 5381.01807 17131.6406 3773.66260 30903.9707 2813.28101 1158.80981 -17.5681572 47.8392296 -246.267426
1904800.00 127409.469 4463.17529 16952.5488 3917.10181 29162.8398 2971.17065 1140.94055 -17.5681572 51.2468491 -246.256119
1905000.00 127409.469 6356.35449 16970.5312 4217.28027 32998.7852 3118.87524 1295.66553 -17.5681572 49.7929649 -247.053635
1905200.00 127409.469 5648.20361 16867.7227 3914.63721 31277.4922 2905.05688 1209.82434 -17.5681572 47.5389366 -247.783005
1905400.00 127409.469 4741.45166 17167.0742 3952.84595 29930.1855 2992.29785 1161.04956 -17.5681572 48.0060844 -248.507446
1905600.00 127409.469 5191.30420 17013.7461 4081.08276 30740.9805 3093.14038 1188.82996 -17.5681572 47.8991051 -248.786514
1905800.00 127409.469 5336.03516 16848.6758 3935.15747 30698.9141 2866.89478 1266.82886 -17.5681572 48.0689774 -246.635086
