Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
1600200.00 124532.422 6062.35449 17156.9688 3776.10278 31943.3828 2678.86938 1302.43640 -17.9740314 46.8569565 -252.059937
1600400.00 124532.422 6644.32275 16836.1562 3800.58960 32704.0176 2706.90234 1300.24280 -17.9740314 44.8998871 -251.455338
1600600.00 124532.422 6427.45850 17198.3672 3759.37964 32631.1523 2635.02271 1321.19690 -17.9740314 51.1936150 -248.033493
1600800.00 124532.422 5855.43115 17072.7070 4005.36182 31712.5723 2894.30469 1303.79395 -17.9740314 53.3820724 -246.119034
1601000.00 124532.422 6412.99316 16917.2383 3729.57007 32293.9434 2600.25562 1319.59106 -17.9740314 54.4544601 -244.730896
1601200.00 124532.422 5666.42969 16917.3789 4181.41797 31390.0371 3070.06445 1300.27161 -17.9740314 54.4073982 -243.325684
1601400.00 124532.422 6375.82227 17157.8125 3930.05127 32667.4902 2785.35425 1332.37292 -17.9740314 55.8369865 -243.513016
1601600.00 124532.422 6633.07812 16837.9551 3955.30103 32840.1055 2806.12280 1337.25745 -17.9740314 56.0577278 -244.136948
1601800.00 124532.422 5541.98047 17171.9941 4087.88989 31325.1055 3014.83496 1265.34277 -17.9740314 54.5536270 -246.841476
1602000.00 124532.422 5669.56543 17028.5117 3837.76221 31163.2109 2703.00098 1326.41284 -17.9740314 53.3332329 -244.984695
1602200.00 124532.422 5744.23291 17168.0938 3912.06738 31512.7070 2808.23608 1298.18994 -17.9740314 50.9113121 -245.270096
1602400.00 124532.422 5620.42920 17173.0371 4254.11670 31634.8516 3061.07861 1379.27112 -17.9740314 54.7352257 -240.968185
1602600.00 124532.422 5468.09863 16910.6641 4067.23584 30908.9375 2939.99121 1313.65967 -17.9740314 55.7622147 -242.177383
1602800.00 124532.422 5171.36572 17110.0508 3932.12964 30434.2988 2884.84497 1236.62708 -17.9740314 56.0570030 -245.399368
1603000.00 124532.422 6968.72119 17080.9414 4390.66992 34128.0469 3190.62598 1393.58972 -17.9740314 51.2028160 -244.748642
1603200.00 124532.422 6067.52344 17003.3027 4007.58350 32030.5859 2918.56689 1272.65796 -17.9740314 56.7457428 -240.387054
1603400.00 124532.422 6141.44434 17181.3887 3893.68066 32229.0215 2803.28760 1274.98596 -17.9740314 55.0331421 -239.626007
1603600.00 124532.422 6217.69092 17142.3867 3942.72485 32377.5430 2831.05396 1299.86523 -17.9740314 52.2404137 -240.434677
1603800.00 124532.422 5886.39502 17064.1348 3799.18604 31554.0586 2712.50879 1275.24329 -17.9740314 51.6164970 -240.182343
1604000.00 124532.422 5854.38916 17074.7793 4223.31396 31930.7051 3099.68384 1313.64954 -17.9740314 50.0730515 -240.092209
1604200.00 124532.422 5720.18311 16950.9375 4127.81152 31467.6172 2970.75977 1341.99976 -17.9740314 52.7526894 -237.700775
1604400.00 124532.422 5319.91699 17028.2871 4035.61279 30725.8145 2944.26855 1272.12793 -17.9740314 55.7047539 -236.488403
1604600.00 124532.422 6038.56299 17093.0391 4184.84180 32244.9844 3059.35400 1311.06897 -17.9740314 54.9512939 -240.532669
1604800.00 124532.422 5948.51416 17102.7227 4017.68408 31923.9648 2986.51392 1222.67664 -17.9740314 51.8891258 -243.395493
1605000.00 124532.422 4769.71387 17124.3809 3727.23047 29514.2598 2670.47803 1246.56653 -17.9740314 52.3355713 -242.149643
1605200.00 124532.422 5734.32471 17054.0449 4287.43701 31756.0332 3124.40991 1355.46436 -17.9740314 52.1717720 -244.608871
1605400.00 124532.422 5454.66650 17144.5469 3953.28467 31004.4727 2950.79761 1195.73901 -17.9740314 49.3060989 -242.558212
1605600.00 124532.422 5480.73047 16974.9238 3982.42847 30911.3320 2908.86865 1263.75134 -17.9740314 50.7092934 -240.900757
1605800.00 124532.422 5246.61133 17085.9121 4469.66016 31084.3516 3353.05908 1307.56470 -17.9740314 50.2763405 -241.239594
1606000.00 124532.422 5877.34863 16836.3691 4173.86182 31684.5410 3041.51758 1323.27234 -17.9740314 52.3033905 -243.231537
1606200.00 124532.422 5929.61475 17001.9004 4053.92139 31825.0566 2989.51270 1263.13293 -17.9740314 48.2172928 -246.941574
1606400.00 124532.422 6247.57129 17258.6797 4110.66357 32716.0430 2924.85596 1380.20776 -17.9740314 50.2413864 -244.641739
1606600.00 124532.422 6113.77295 17221.9434 3876.90479 32202.5469 2790.90454 1275.15271 -17.9740314 54.4191132 -243.571640
1606800.00 124532.422 5708.16650 16990.5801 4073.92773 31431.5508 2948.78369 1315.47827 -17.9740314 53.8485031 -244.182770
1607000.00 124532.422 5453.51904 16905.3828 3860.24365 30670.1855 2745.21533 1305.16968 -17.9740314 53.5969582 -243.738342
1607200.00 124532.422 5615.76074 17317.5039 3912.82471 31429.5469 2821.09570 1280.42932 -17.9740314 55.7887344 -244.489105
1607400.00 124532.422 5455.70850 17110.3008 3954.42017 30973.2578 2833.60986 1305.50598 -17.9740314 58.5487633 -243.244476
1607600.00 124532.422 5338.82910 16863.5820 3765.26880 30325.1133 2749.16406 1205.47815 -17.9740314 55.8713875 -245.244797
1607800.00 124532.422 4947.17969 16835.1133 3891.23877 29711.3086 2841.59497 1242.58582 -17.9740314 54.3872643 -247.329132
1608000.00 124532.422 4732.10596 17085.1914 4019.07422 29698.6094 2877.83398 1338.46790 -17.9740314 51.4377251 -248.665451
1608200.00 124532.422 5205.95117 17095.7109 4151.47607 30702.1191 3037.71411 1306.12756 -17.9740314 53.6022453 -245.967819
1608400.00 124532.422 6278.38574 16923.2695 3867.91309 32193.8457 2742.51758 1307.26196 -17.9740314 59.5534744 -241.420197
1608600.00 124532.422 5896.70459 17136.2246 4160.53662 32006.2227 3018.37622 1323.79797 -17.9740314 58.4134789 -240.051147
1608800.00 124532.422 6220.64746 17081.7188 4053.82959 32433.3496 2966.65503 1275.56458 -17.9740314 53.5392265 -241.929413
1609000.00 124532.422 6013.56348 17032.7832 3869.50977 31823.9922 2751.78149 1303.64612 -17.9740314 55.9322472 -241.850159
1609200.00 124532.422 5877.12305 17386.9316 3988.63232 32049.4629 2929.60229 1244.29895 -17.9740314 54.3090439 -239.578079
1609400.00 124532.422 5631.08740 17131.9980 4228.94287 31587.9961 3087.28638 1325.45605 -17.9740314 56.5136070 -240.313293
1609600.00 124532.422 5150.57959 16996.4746 3897.09937 30247.9414 2861.85962 1213.80933 -17.9740314 59.0055733 -237.575089
1609800.00 124532.422 4956.42432 17055.8848 3911.08667 29968.7188 2818.67603 1273.30994 -17.9740314 57.5868835 -238.486115
1610000.00 124532.422 4855.23486 17338.0176 4062.96118 30218.9473 2970.61499 1279.83960 -17.9740314 54.8005333 -242.294098
1610200.00 124532.422 5264.07861 17041.2324 3859.75391 30461.4883 2792.22510 1257.48889 -17.9740314 55.4688301 -245.428925
1610400.00 124532.422 6027.41309 16856.1738 4140.03662 31943.0625 3036.70093 1296.97644 -17.9740314 52.9450569 -246.585846
1610600.00 124532.422 7408.23047 17277.7832 4136.60645 34869.0508 2991.83643 1334.15039 -17.9740314 55.1286964 -244.509247
1610800.00 124532.422 6314.64307 16843.9570 3995.59717 32308.0664 2820.21826 1368.12146 -17.9740314 50.7126503 -243.455109
1611000.00 124532.422 5960.55420 17119.6133 4110.92188 32055.9609 3036.79858 1265.41394 -17.9740314 51.4469490 -242.737564
